bt_mac_scanner;lat;lon;accuracy;provider;timestamp
6690bce5dfdfc4cc1bd4ed75c653c143;55.6132168835029;12.0424966234714;5;gps;2012-06-30 13:47:44
6690bce5dfdfc4cc1bd4ed75c653c143;55.585212;12.0243274;1935;network;2012-06-30 13:47:46
6922773dad726249fea6280b7a9382e9;55.6789461666667;12.5278678333333;301;network;2012-06-30 13:49:46
6922773dad726249fea6280b7a9382e9;55.67908704;12.52735258;20;gps_cached;2012-06-30 13:49:48
6922773dad726249fea6280b7a9382e9;55.67908704;12.52735258;20;gps;2012-06-30 13:49:48
94cea2e2fd8a8e1adfe890f79e9ad45a;55.40831993;11.57359881;3;gps_cached;2012-06-30 13:50:18
56ddb84680ea74a29047cda88c6e1e09;55.6171379089355;12.0905179977417;76.8862152099609;gps;2012-06-30 13:51:41
29d18c84b2375a3327e8dca78c0975ef;55.5937919;12.1800433;1274;network;2012-06-30 13:51:54
a0a01441b945a253fd479ea531292bac;55.6415447;11.9460799;1784;network;2012-06-30 13:52:17
249ea829217efe21820483384a0e3478;59.255671;10.9894469;29;network;2012-06-30 13:52:40
a0a01441b945a253fd479ea531292bac;55.63797848;11.96197588;92;gps;2012-06-30 13:53:17
249ea829217efe21820483384a0e3478;59.25578847;10.98926858;14;gps;2012-06-30 13:53:53
56ddb84680ea74a29047cda88c6e1e09;55.6151902;12.0829828;1521;network;2012-06-30 13:53:54
0310a07877058eca75a6f739d63b66df;55.6787654;12.5058038;30;network;2012-06-30 13:54:29
0310a07877058eca75a6f739d63b66df;55.6788954650983;12.5059556867927;20;gps;2012-06-30 13:54:37
9fb011524993c741c20ab05910eefc7f;55.6245875;12.0623662;1258;network;2012-06-30 13:54:58
9fb011524993c741c20ab05910eefc7f;55.61845792;12.06667526;26.8328151702881;gps;2012-06-30 13:55:06
ec061d9f8a97730da11d99ca381aa72f;63.31824906;14.82472196;3;gps;2012-06-30 13:57:45
ff1857a26104cf0a28145763e67facc3;55.7638203;12.4777172;20;network;2012-06-30 13:58:08
0efb1646259a14edc80047db6e03ec38;56.5763204;9.0511813;36;network;2012-06-30 13:59:42
0efb1646259a14edc80047db6e03ec38;55.6172733918147;12.0909391170324;32;gps;2012-06-30 13:59:47
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913634;11.5388693;25;network;2012-06-30 13:59:51
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89148648;11.53932084;13;gps;2012-06-30 13:59:56
6690bce5dfdfc4cc1bd4ed75c653c143;55.6116133;12.0516475;1990;network;2012-06-30 14:01:08
6690bce5dfdfc4cc1bd4ed75c653c143;55.6109674740583;12.0484680589288;5;gps;2012-06-30 14:01:09
0310a07877058eca75a6f739d63b66df;55.678759;12.505837;33;network;2012-06-30 14:02:04
0310a07877058eca75a6f739d63b66df;55.6788120651618;12.5058017950505;20;gps;2012-06-30 14:02:19
0310a07877058eca75a6f739d63b66df;55.6787475;12.5058547;30;network;2012-06-30 14:04:05
0310a07877058eca75a6f739d63b66df;55.6790394661948;12.5056861247867;5;gps;2012-06-30 14:04:23
c872634fe3c909d967890afe5aef478a;55.6171493530273;12.0906467437744;16.5012130737305;gps;2012-06-30 14:04:49
a0a01441b945a253fd479ea531292bac;55.6225187;11.9909816;1885;network;2012-06-30 14:05:30
a0a01441b945a253fd479ea531292bac;55.6316189;12.01149094;51;gps;2012-06-30 14:05:35
9fb011524993c741c20ab05910eefc7f;55.6111357;12.0536385;1850;network;2012-06-30 14:05:44
9fb011524993c741c20ab05910eefc7f;55.61840741;12.06665202;13.416407585144;gps;2012-06-30 14:05:50
249ea829217efe21820483384a0e3478;59.255671;10.9894469;29;network;2012-06-30 14:06:06
249ea829217efe21820483384a0e3478;59.2557182;10.98916875;19;gps;2012-06-30 14:06:11
6922773dad726249fea6280b7a9382e9;55.7167214;12.4746408;1233;network;2012-06-30 14:06:26
249ea829217efe21820483384a0e3478;59.255613;10.9890224;24;network;2012-06-30 14:07:55
249ea829217efe21820483384a0e3478;59.25583521;10.98916775;34;gps;2012-06-30 14:08:01
0310a07877058eca75a6f739d63b66df;55.6787597;12.5058586;30;network;2012-06-30 14:10:05
0310a07877058eca75a6f739d63b66df;55.67902949173;12.5058516673744;5;gps;2012-06-30 14:10:13
dfaf19456a591adac3f279a8b9528990;56.0239302;12.1855339;1220;network;2012-06-30 14:10:45
ec061d9f8a97730da11d99ca381aa72f;63.32364067;14.73196773;6;gps;2012-06-30 14:10:57
dfaf19456a591adac3f279a8b9528990;56.02378378;12.18101172;45;gps;2012-06-30 14:11:05
0efb1646259a14edc80047db6e03ec38;56.5763198;9.0511791;37;network;2012-06-30 14:12:54
