bt_mac_scanner;bt_mac_discovered;timestamp;discoveryTime 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 11:40:51";21 
a0a01441b945a253fd479ea531292bac;a0725522078c9357f8fcb7493ced61d7;"2012-07-05 11:43:00";28 
a0a01441b945a253fd479ea531292bac;60ecf9d68a3a57ba05a0f7f049291ccd;"2012-07-05 11:43:00";28 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:46:07";20 
ff1857a26104cf0a28145763e67facc3;eef967ce85714cdf89dbd08214dce334;"2012-07-05 11:46:07";20 
ff1857a26104cf0a28145763e67facc3;6ef8491f053cdc04802b35583254e237;"2012-07-05 11:46:07";20 
9fb011524993c741c20ab05910eefc7f;68d719620d76f73d91c7627456f235ae;"2012-07-05 11:48:51";22 
9fb011524993c741c20ab05910eefc7f;02e8a21bf7472ea60fca34a9441e9be5;"2012-07-05 11:48:51";22 
938b4a1742b8f37eed1428f3003f4f71;acc446fdae79ecc047027b7263f6da05;"2012-07-05 11:49:36";81 
5488e17db9e015b67c541653c5adbf1d;7d07efd57bca4923f25a9744bcbf10fb;"2012-07-05 11:52:47";20 
5488e17db9e015b67c541653c5adbf1d;434bf5bab7212b1d4e9fcd44ecdc0560;"2012-07-05 11:52:47";20 
5488e17db9e015b67c541653c5adbf1d;3f5693d1b8d4ac603d70fabf07846425;"2012-07-05 11:52:47";20 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 11:52:47";20 
a0a01441b945a253fd479ea531292bac;9d064653306cf8677e5ae35aa6e28d34;"2012-07-05 11:53:03";36 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:53:17";28 
f9b58c8ef39ad0da343027df388d58c2;2d19ab99a74ebb2d49fed7c4b8995df7;"2012-07-05 11:53:17";28 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:58:14";20 
ff1857a26104cf0a28145763e67facc3;eef967ce85714cdf89dbd08214dce334;"2012-07-05 11:58:14";20 
ff1857a26104cf0a28145763e67facc3;6ef8491f053cdc04802b35583254e237;"2012-07-05 11:58:14";20 
9fb011524993c741c20ab05910eefc7f;d3b619d32d35b5bc98655b0c38750ab2;"2012-07-05 12:00:30";25 
9fb011524993c741c20ab05910eefc7f;915f773dabf85abf88388921cecbce57;"2012-07-05 12:00:30";25 
a0a01441b945a253fd479ea531292bac;a0725522078c9357f8fcb7493ced61d7;"2012-07-05 12:03:17";31 
5488e17db9e015b67c541653c5adbf1d;933d891755bb15fb2677bbec0c54019f;"2012-07-05 12:04:22";21 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 12:04:22";21 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:05:29";32 
938b4a1742b8f37eed1428f3003f4f71;624f865d7e223a45aee4334b6ad48c47;"2012-07-05 12:07:57";45 
938b4a1742b8f37eed1428f3003f4f71;6d52fee548ea5de22b624421c151bc39;"2012-07-05 12:07:57";45 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 12:10:15";20 
